Name,Publisher,Version,Licenses,Provenance
server_frame,hero1s,b7ac375,MIT,Unknown
Cardano-SCK,MitchellTesla,1.0.3-beta,"Unknown, Apache-2.0, MIT",Unknown
BlackWindow,saulzini,2.0,"Unknown, MIT",Unknown
wajic,schellingb,bin,"Unknown, Zlib",Unknown
supermariowar,mmatyas,2.0-beta.0,Zlib,Unknown
hyperrogue,zenorogue,113a,"GPL-2.0-only, BSD-2-Clause, Unknown",Unknown
woff2-next,Ruben Maher,0.0.1,MIT,Unknown
pkgeval.jl,juliaci,0.1,"Unknown, Unknown, Python-2.0, Unknown, Unknown, Apache-2.0, MIT, BSD-3-Clause, Unknown, BSD-2-Clause-Patent, Unknown, OLDAP-2.8, bzip2-1.0.6, Unknown, FSFULLR, Unknown, GPL-3.0-only, Zlib, Unknown, BSD-2-Clause, Unknown, Unknown, X11-distribute-modifications-variant, Unknown, Unknown, Unknown, X11, Unknown, Unknown, Unknown, OpenSSL, curl, Unknown, Unknown, Unknown",Unknown
brotli,google,1.0.5,MIT,Unknown
Brotli,The Brotli Authors,1.1.0,MIT,Unknown
embree,embree,4.3.0,"Apache-2.0, MIT",Unknown
Brotli4j,hyperxpro,1.12.0,"Apache-2.0, MIT",Unknown
RedisDesktopManager-Windows,lework,2021.9,MIT,Unknown
mORMotBP,eugeneilyin,2.0,MIT,Unknown
openpgl,renderkit,0.3.1-beta,Apache-2.0,Unknown
ogg,xiph,1.3.4,BSD-3-Clause,Unknown
fake_icu,mihnita,release.76.1a,"Unknown, Unknown",Unknown
mpc-be,jeeb,caeed0b,BSD-3-Clause,Unknown
dj-engine,matteogodzilla,0.9-pre-pre-alpha,"LGPL-3.0-only, Unknown, Unknown, Zlib, BSD-3-Clause, LGPL-2.0-only",Unknown
icu,unicode-org,cldr/2020-09-22,"Unknown, Unknown, ICU, Unknown, Unknown, Unknown, Unicode-TOU, Unknown, Unknown, Unknown, Unknown, BSD-3-Clause, Unknown, Unknown",Unknown
icu,hugovdm,pr1597/presquash,Unknown,Unknown
ciriquant,bioinfo-biols,1.1.2,"Python-2.0, Unknown, Unknown, TCL, Unknown, BSD-3-Clause-Open-MPI, Unknown, Unknown, Apache-2.0, MIT, BSD-3-Clause, GPL-2.0-only, Unknown",Unknown
aview,aview,1.3.0rc1-6,"GPL-2.0-or-later, Unknown",Unknown
FreeCAD-ports-cache,FreeCAD,0.17,Unknown,Unknown
vs_pdfium,jwezorek,387ea5c,BSD-3-Clause,Unknown
harfbuzz,harfbuzz,6864769,"MIT-Modern-Variant, MIT",Unknown
texlive-source,tex-live,svn69767b,"Unknown, Unknown, Unknown, MIT, Apache-2.0, BSD-3-Clause, BSL-1.0, Unknown, MakeIndex, Libpng, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, GPL-3.0-only, Zlib, Unknown, Unknown, Unknown, GPL-2.0-only, Unknown, LGPL-2.1-only, Unknown, Unknown, Unknown, Unknown",Unknown
pspdev,pspdev,latest,"MIT-Modern-Variant, MIT",Unknown
luatex,tex-live,f52b099,GPL-2.0-only,Unknown
packages,vitasdk,master,"LGPL-3.0-only, Python-2.0, MIT",Unknown
zlib,madler,1.3,Zlib,Unknown
doctest,onqtam,2.4.11,"BSL-1.0, MIT",Unknown
mbedtls,Mbed-TLS,3.6.1,"Unknown, Unknown, Unknown, GPL-2.0-or-later, Apache-2.0",Unknown
mbedtls,armmbed,3.5.1,"GPL-2.0-or-later, Unknown, Apache-2.0, Unknown",Unknown
riscv32_crypto_demo_sim_tool,stvfu,1.0.0,"GPL-2.0-or-later, Apache-2.0, Unknown",Unknown
mbedtls1.3,yuhaoth,saved/pr/add-ticket-lifetime-check-for-tls13-server,"GPL-2.0-or-later, Apache-2.0, Unknown",Unknown
tdesktop,telegramdesktop,4.14.3,"LGPL-3.0-only, MIT, Unknown, Unknown, CC0-1.0, Unknown, Unknown, Unknown, Apache-2.0, Zlib, Unknown, GPL-2.0-only, BSD-2-Clause, BSL-1.0, Unknown",Unknown
nip44,paulmillr,2593b6b,"Unknown, Unknown, GPL-2.0-or-later, Unlicense, Apache-2.0, MIT, GPL-2.0-only, BSD-2-Clause",Unknown
Clipper2,AngusJohnson,1.4.0,BSL-1.0,Unknown
mbedtls,zephyrproject-rtos,2f24831,"GPL-2.0-or-later, Unknown, Apache-2.0, Unknown",Unknown
bmx-ng,bmx-ng,0.143.3.57.202402250135.linux.x64,"Unknown, Unknown, Unknown, Unknown, ISC, Apache-2.0, MIT, Unknown, Unknown, Unknown, Unknown, BSL-1.0, Unknown, BSD-3-Clause, Unknown, Libpng, Unknown, Unknown, bzip2-1.0.6, Unknown, Unknown, GPL-3.0-only, Zlib, Unknown, BSD-2-Clause, SGI-B-2.0, Unknown, Unknown, Unlicense, NTP, Unknown, GPL-2.0-only, Unknown, curl, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
etcpak,wolfpld,bb20685,"BSD-3-Clause, Unknown",Unknown
basis_universal,BinomialLLC,1_50_0,"BSD-3-Clause, Apache-2.0",Unknown
dmd,dlang,nightly,"BSL-1.0, Zlib",Unknown
dragonflybsd,dragonflybsd,3.6.0rc,"Unknown, GPL-1.0-only, Unknown, ISC, MIT, Unknown, BSD-3-Clause, Unknown, bzip2-1.0.6, Unknown, Unknown, GPL-3.0-only, Zlib, SMLNJ, BSD-2-Clause, X11-distribute-modifications-variant, Unknown, Unknown, Unknown, GPL-2.0-only, BSD-4-Clause, Unknown, LGPL-2.1-only, Unknown, BSD-Source-Code, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
rstudio,rstudio,0.97.18,"Unknown, Unknown, Unknown, Apache-2.0, MIT, BSD-3-Clause, Unknown, Unknown, Unknown",Unknown
popgenome,cran,1.2.0,None,Unknown
buildscripts,devkitpro,sources,"MIT, LGPL-2.0-only, bzip2-1.0.6, Apache-2.0, GPL-3.0-only, BSD-3-Clause, GPL-2.0-only, BSL-1.0, Unknown, Unknown",Unknown
glslang,KhronosGroup,14.2.0,"Unknown, Unknown, Unknown, Unknown",Unknown
firmware,openipc,latest,"Zlib, MIT",Unknown
bravely-offline-citra,rtiangha,2024-04-24a,"Unknown, Unknown, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, BSL-1.0, Unknown, Unknown, 0BSD, Unknown, Zlib, BSD-2-Clause, Unknown, Unknown, Unknown, GPL-2.0-only, Unknown, LGPL-2.1-only, FDK-AAC, Unknown",Unknown
Pomelo,stossy11,0.0.8,"BSD-3-Clause, LGPL-3.0-only, GPL-3.0-only",Unknown
glslang.zig,tiawl,1.3.280,"BSD-3-Clause, MIT",Unknown
DiligentEngine,DiligentGraphics,2.5.5,"MIT, Unknown, Libpng, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Apache-2.0, Zlib, BSD-3-Clause, Unknown, BSD-2-Clause, GPL-2.0-only",Unknown
aml_npu_sdk,khadas,591f6d3,"GPL-2.0-only, Unknown",Unknown
@webgpu/glslang,npmjs,0.0.9,BSD-3-Clause,Unknown
effekseer,effekseer,NightlyBuild,MIT,Unknown
proton-ge-custom,GloriousEggroll,GE-Proton7-34,"BSD-3-Clause, BSD-2-Clause",Unknown
emuThreeDS-externals,emuPlace,1.0.0,BSD-3-Clause,Unknown
third_party_glslang,eclipse-oniro-mirrors,OpenHarmony-v5.0.0-Release,"BSD-3-Clause, Unknown, Unknown, Unknown",Unknown
GLSLangSharp,aardvark-community,0.4.7,Unknown,Unknown
VkFFT,DTolm,1.1.1,"BSD-3-Clause, MPL-2.0, MIT",Unknown
ncnn-on-mingw,futz12,1.0.20221119,BSD-3-Clause,Unknown
SPIRV-Reflect,KhronosGroup,sdk-1.3.261.0,"Unknown, Apache-2.0",Unknown
jpeg-compressor,richgel999,aeb7d3b,Unknown,Unknown
libwebp,webmproject,6c484cb,BSD-3-Clause,Unknown
GbxDump,Electron-x,1.66,"BSD-3-Clause, Unknown",Unknown
python-realesrgan-ncnn-vulkan,Özgür Ateş Fırat,1.1,"BSD-3-Clause, Unknown, MIT",Unknown
libwebp,freedesktop-sdk/mirrors/chromium/webm,05c46984,"BSD-3-Clause, Unknown",Unknown
xtinypng-cli,Mathieu Aubin,0.1.0,"BSD-3-Clause, Unknown, MIT",Unknown
osgall,shelltdf,83c009d,"BSD-3-Clause, Unknown",Unknown
aros,deadwood2,AxRT_40.2,"Unknown, Unknown, Unknown, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, Libpng, bzip2-1.0.6, Unknown, Unknown, Unknown, GPL-3.0-only, BSD-2-Clause, Unknown, LGPL-2.0-only, Unknown, Unknown, Unknown, Unknown, GPL-2.0-only, Unknown, LGPL-2.1-only, Unknown, Unknown, Unknown",Unknown
